Number,Dn,Ur,Keyword,Kd,HeaderCount,ListsCount,InternalLinks
0,bouwmaat.nl,https://www.bouwmaat.nl/bouwmaterialen,bouwmaterialen,84.13,4,31,1426
1,hornbach.nl,https://www.hornbach.nl/shop/Bouwmateriaal/S4471/artikeloverzicht.html,bouwmaterialen,84.13,10,17,217
