Number,Dn,Ur,Keyword,Kd,HeaderCount,ListsCount,InternalLinksSoup,ExternalLinksSoup,InternalLinksSEMrush,ExternalLinksSEMrush,BacklinksSEMrush,Total Images,Image Tags,Content-length,META-Title,META-Description,Creation Date
0,bouwmaat.nl,https://www.bouwmaat.nl/bouwmaterialen,bouwmaterialen,84.13,4,31,1430,10,43,77,6884,23,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'Bouwmaat.nl', 'None', 'ideal-logo', 'visa', 'v-pay', 'mastercard', 'Paypal-Logo']",753,"Bouwmaterialen kopen: Online of in de vestiging - Bouwmaat
",Bouwmaterialen kopen ✓ Online of in de vestiging ✓ Beste kwaliteit ✓ MEER=MINDER inkoopvoordeel ✓ Bezorgen op de klus ✓ Groot aanbod.,None
1,hornbach.nl,https://www.hornbach.nl/shop/Bouwmateriaal/S4471/artikeloverzicht.html,bouwmaterialen,84.13,10,17,216,7,42,79,633,21,"['Hornbach logo', 'Assortiment Binnenafbouw', 'Assortiment Isolatie', 'Assortiment Dakbedekking', 'Assortiment Ruwbouw', 'Assortiment Impregneren en repareren', 'Assortiment Gevelbekleding', '{{article.imageAlt}}', 'rating', 'None', 'Laagste prijsgarantie | HORNBACH ', 'Garantie bedenktijd ', 'Beste Bouwmarkt en Beste Webshop bouwmarkten! 2020 2021 ', 'Keurmerk thuiswinkel ', 'Keurmerk trustedshops ', 'apps appstore ', 'app playstore ', 'facebook ', 'instagram ', 'youtube ', 'twitter ']",337,Bouwmaterialen kopen? .HORNBACH. Laagste prijs,Bekijk ons assortiment Bouwmateriaal  in onze Onlineshop . Eenvoudig online bestellen . Thuisbezorgd . Laagste prijsgarantie . 30 dagen Bedenktijd. Alle Bouwmateriaal  online!,None
2,bouwbestel.nl,https://www.bouwbestel.nl/bouwmaterialen.html,bouwmaterialen,84.13,2,7,2595,14,128,19,12,57,"['Uniebouw', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'Veilig Betalen', 'Webshop Keurmerk', 'Webshop Keurmerk', 'Webshop Keurmerk', 'Webshop Keurmerk']",252,Bouwmaterialen Online - Bouwbestel - Bouwmateriaal Online Kopen,"Op zoek naar bouwmaterialen? Bij Bouwbestel bent u aan het ✅ juiste adres voor o.a. bouwmaterialen, bouwmaterialen online, bouwmaterialen kopen.",None
3,online-bouwmaterialen.nl,https://www.online-bouwmaterialen.nl/,bouwmaterialen,84.13,3,31,138,10,2,2,36,52,"['Online Bouwmaterialen, bestel bouwmaterialen online, beste kwaliteit bouwmaterialen, snel geleverd. Bouwmaterialen Online bestellen!', 'Hout & Plaatmateriaal kopen', 'Stenen kopen', 'Grind & Zand kopen', 'VBI Vloer kopen', 'Isolatiemateriaal kopen', 'Cement & Beton kopen', 'Bouwstaal kopen', 'Gipsplaten kopen', 'Stucadoorsmaterialen kopen', 'Tegels en lijmen kopen', 'Lateien kopen', 'Dakramen & Solatubes kopen', 'Dakmaterialen kopen', 'Kozijnen & Deuren kopen', 'Bouwfolies kopen', 'Verf, Pur, Lijm & Kit kopen', 'Bevestiging kopen', 'Gereedschap & Installatie kopen', 'Gevel kopen', 'Tuin kopen', 'Afvalcontainers kopen', 'Kleding & PBM kopen', 'Hectar vloer kopen', 'Brandwerende materialen kopen', 'Hout & Plaatmateriaal kopen', 'Stenen kopen', 'Grind & Zand kopen', 'VBI Vloer kopen', 'Isolatiemateriaal kopen', 'Cement & Beton kopen', 'Bouwstaal kopen', 'Gipsplaten kopen', 'Stucadoorsmaterialen kopen', 'Tegels en lijmen kopen', 'Lateien kopen', 'Dakramen & Solatubes kopen', 'Dakmaterialen kopen', 'Kozijnen & Deuren kopen', 'Bouwfolies kopen', 'Verf, Pur, Lijm & Kit kopen', 'Bevestiging kopen', 'Gereedschap & Installatie kopen', 'Gevel kopen', 'Tuin kopen', 'Afvalcontainers kopen', 'Kleding & PBM kopen', 'Hectar vloer kopen', 'Brandwerende materialen kopen', 'Bekijk de reviews van Online Bouwmaterialen', 'Online Bouwmaterialen heeft het WebwinkelKeur Keurmerk', 'Veilig betalen bij Online Bouwmaterialen']",1782,Bouwmaterialen Online kopen? | Online Bouwmaterialen,Bij Online Bouwmaterialen koopt u de beste kwaliteit bouwmaterialen ✅ Scherp geprijsd ✅ Snel geleverd ✅ Professioneel advies ✅ Ruim assortiment ✅,None
4,bouwonline.com,https://www.bouwonline.com/,bouwmaterialen,84.13,7,7,1029,3,42,79,7,37,"['BouwOnline.com', 'BouwOnline.com', 'None', 'Empty cart', 'Werkbladen', 'Combinatievloeren', 'Okoume multiplex deurplaat 40 mm blank (overige maten)', 'Populieren gegrond 18 mm 250 x 122cm', 'Wapeningskorf prefab open & gesloten kop 10 mm (betonmaat 350 x 500 x 3000mm)', 'OSB 3 18 mm 244 x 122cm - mes & groef langszijden', 'Medite® MDF vochtwerend 18 mm 244 x 122cm', 'Medite® Tricoya® MDF 18 mm 244 x 122cm', 'Reginox spoelbak Ohio Midnight Sky 50x40 R25970', 'Agnes® wandplaten wit stuc 2600 x 600 x 12 mm (2 stuks)', 'Agnes® wandplaten wit stuc 2600 x 600 x 12 mm (2 stuks)', 'Placeholder', 'Medite® Tricoya® MDF 18 mm 244 x 122cm', 'Reginox spoelbak Ohio Midnight Sky 50x40 R25970', 'Agnes® wandplaten wit stuc 2600 x 600 x 12 mm (2 stuks)', 'Agnes® wandplaten wit stuc 2600 x 600 x 12 mm (2 stuks)', 'None', 'Placeholder', 'Medite® Tricoya® MDF 18 mm 244 x 122cm', 'Reginox spoelbak Ohio Midnight Sky 50x40 R25970', 'Agnes® wandplaten wit stuc 2600 x 600 x 12 mm (2 stuks)', 'Gevelbekleding', 'Deuren & Kozijnen', 'Afvalcontainers', 'Dakmaterialen', 'Houten Werkbladen', 'Bouwfolies', 'Combinatievloeren', 'BouwOnline.com', 'ideal', 'mistercash', 'banktransfer', 'directebanking']",1651,Bouwmaterialen online voor klussers en bouwers - BouwOnline.com,"Dé grootste online bouwmaterialen shop voor hout, gevelbekleding, afvalcontainers en alle grote merken. Vandaag besteld is morgen in huis. ",None
