Number,Dn,Ur,Keyword,HeaderCount,ListsCount
0,bouwmaat.nl,https://www.bouwmaat.nl/bouwmaterialen,bouwmaterialen,4,31
1,hornbach.nl,https://www.hornbach.nl/shop/Bouwmateriaal/S4471/artikeloverzicht.html,bouwmaterialen,10,17
2,online-bouwmaterialen.nl,https://www.online-bouwmaterialen.nl/,bouwmaterialen,3,31
3,bouwbestel.nl,https://www.bouwbestel.nl/bouwmaterialen.html,bouwmaterialen,2,7
4,bmn.nl,https://www.bmn.nl/,bouwmaterialen,3,12
5,bouwonline.com,https://www.bouwonline.com/,bouwmaterialen,7,7
