,0,1
0,youtube.com,https://www.youtube.com/?gl=nl&hl=nl
1,google.nl,https://books.google.nl/books?id=v3n_DwAAQBAJ&pg=PA35&lpg=PA35&dq=youtube&source=bl&ots=kE0E1aH4v3&sig=ACfU3U0PqwFRbjFCUXRg7d0jbjjZpDAm9A&hl=nl&sa=X&ved=2ahUKEwifrKL6qqHwAhUQyxoKHS07B5MQ6AEwC3oECAEQAw
