Number,Dn,Ur,Keyword,HeaderCount,ListsCount
0,wikipedia.org,https://nl.wikipedia.org/wiki/Geluid,geluid,4,36
1,mijnwoordenboek.nl,https://www.mijnwoordenboek.nl/puzzelwoordenboek/Geluid/1,geluid,3,11
2,hoorzaken.nl,https://www.hoorzaken.nl/het-oor/geluid/,geluid,3,19
