Number,Dn,Ur,Keyword,Kd,keyword_density_percentage,HeaderCount,ListsCount,InternalLinksSoup,ExternalLinksSoup,InternalLinksSEMrush,ExternalLinksSEMrush,BacklinksSEMrush,PageAScore,DomainAScore,AScore,Total Images,Image Tags,Content-length,META-Title,META-Description,Creation Date,FCP,LCP,FID,CLS,URL,original_publication,last_modified,days_between
,,,,,,,,,,,,,,,,,,,,,,528,1056,2,15,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,528,1056,2,15,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,528,1056,2,15,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,528,1056,2,15,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,528,1056,2,15,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,528,1056,2,15,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,528,1056,2,15,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,528,1056,2,15,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,528,1056,2,15,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,528,1056,2,15,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,528,1056,2,15,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,528,1056,2,15,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,528,1056,2,15,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,528,1056,2,15,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,528,1056,2,15,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,528,1056,2,15,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,528,1056,2,15,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,528,1056,2,15,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,528,1056,2,15,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,528,1056,2,15,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,528,1056,2,15,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,528,1056,2,15,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,528,1056,2,15,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,528,1056,2,15,,NaN,NaN,NaN
