Number,Dn,Ur,Keyword,Kd,HeaderCount,ListsCount,InternalLinksSoup,ExternalLinksSoup,InternalLinksSEMrush,ExternalLinksSEMrush,BacklinksSEMrush,PageAScore,DomainAScore,AScore,Total Images,Image Tags,Content-length,META-Title,META-Description,Creation Date,FCP,LCP,FID,CLS,original_publication,last_modified,days_between
30,jongeneel.nl,https://www.jongeneel.nl/,bouwmaterialen,84.13,4.0,5.0,637.0,5.0,84.0,107.0,68238.0,76.0,2.0,39.0,0,NaN,114,Jongeneel | Houthandel voor iedereen die bouwt of klust,"Welkom bij Jongeneel, al 220 jaar dé houthandel voor iedereen die bouwt of klust . 42 vestigingen - 6 dagen per week geopend . Webshop - 24/7 bestellen",None,2454,2733,4,9,2021-01-01,2021-01-01,0
39,groenebouwmaterialen.nl,https://www.groenebouwmaterialen.nl/,bouwmaterialen,84.13,5.0,12.0,486.0,6.0,17.0,3.0,1715.0,68.0,17.0,27.0,59,"['GroeneBouwmaterialen.nl | Ecologische bouwmaterialen', 'GroeneBouwmaterialen.nl | Ecologische bouwmaterialen', 'GroeneBouwmaterialen.nl | Ecologische bouwmaterialen', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'Unilit Riva', 'Horsemen Horsemen Wood Care Onzichtbare Wasolie', 'Pro Clima Solitex Fronta Quattro FB', 'Elka ESB Plus constructieplaat, pallet', 'Isolena  Premium schapenwolisolatie, rol', 'Gutex Thermoflex, pak', 'Tierrafino Base S2, zonder stro, bruin leem, Aardvochtig', 'Agepan DWD Protect constructieplaat', 'Metisse Katoen isolatie PM, pak', 'Allbäck  Lijnolieverf Kleur', 'Riva', 'Gutex Thermoflex, pak', 'Isolena  Optimal schapenwolisolatie, rol', 'Gutex Thermoflex, pallet', 'Elka ESB Plus constructieplaat, pallet', 'Chamotte tegel, groot', 'Thermo Natur Hennep Premium - Pallet', 'Unilit Cortex', 'Horsemen Deck Care', 'Horsemen Stone Betonprotectie', 'Isolatie', 'Luchtdichting', 'Hout & Plaat', 'Stuc', 'Leem', 'Vuurvaste materialen', 'Berg  & Berg Parket', 'Uitverkoop', 'Stucsystemen', 'Natuurverf', 'Verwarming', 'Allbäck ', 'Auro', 'Gutex', 'Isolena ', 'Kerakoll', 'Kreidezeit', 'Metisse', 'Pro Clima', 'Tierrafino', 'WEM ', 'Vacature: Inhoudsbeheerder, website beheerder', 'Vacature: bureauchef, coördinator, organisator, ', 'Vacature: adviseur/verkoper binnendienst']",533,Groenebouwmaterialen - uw bio bouwmarkt - Groene Bouwmaterialen,Een complete bio- bouwmarkt. Wij zijn gespecialiseerd in ecologische en bio based bouwmaterialen. Bijna al onze producten zijn binnen enkele werkdagen leverbaar.,None,1413,1662,7,38,2021-04-22,2021-04-22,0
40,bouwmaterialenzeeland.nl,https://www.bouwmaterialenzeeland.nl/,bouwmaterialen,84.13,1.0,0.0,0.0,0.0,43.0,109.0,6159.0,43.0,38.0,,0,[],9,Uw online bouwmarkt voor elke klus - BPG De Jonge - Bouwmaterialen Zeeland,"Bestel u bouwmaterialen direct in onze webshop, snel en voordelig geleverd in Zeeland",None,1093,1501,2,6,2021-01-01,2021-01-01,0
45,ggoedkoop.nl,https://www.ggoedkoop.nl/,bouwmaterialen,84.13,6.0,9.0,61.0,14.0,110.0,44.0,1822.0,68.0,16.0,25.0,23,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'Sakol Plaatmateriaal', 'Sakol Afbouwplaten', 'Sakol Tuinhout', 'Sakol Lijstwerk', 'Sakol Bouwfolie', 'None', 'None', 'None', 'None', 'None', 'None']",113,"Goedkoop Bouwmaterialen
",Goedkoop,None,994,1565,4,6,2016-01-01,2016-01-01,0
46,eco-bouwmaterialen.nl,https://www.eco-bouwmaterialen.nl/,bouwmaterialen,84.13,5.0,7.0,369.0,9.0,11.0,196.0,37.0,62.0,38.0,20.0,17,"['eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen']",429,Natuurlijk & duurzaam bouwen | Eco-bouwmaterialen,Op zoek naar producten voor je verbouwing of nieuw project? Eco-bouwmaterialen biedt een ruim aanbod aan duurzame materialen aan. Kijk snel verder.,None,2847,3552,7,21,2019-04-23,2021-05-17,755
55,hominco.nl,https://www.hominco.nl/,bouwmaterialen,84.13,4.0,3.0,123.0,8.0,55.0,30.0,196.0,49.0,74.0,46.0,35,"['Minco Bouwmaterialen', 'Assortiment', 'Minco Bouwmaterialen', 'Assortiment', '<strong>Snelle Levering!</strong><br /> Bestelt u een product? We leveren snel ! ', '<strong>Vakkundige Klantenservice!</strong><br />  Heeft u een vraag? Wij helpen.', '<strong>Scherpe Prijzen!</strong><br />  We houden onze prijzen laag.', '<strong>1500 m2 opslag!</strong><br />  De meeste producten zijn op voorraad.', 'Klik hier om ons assortiment te bekijken!', 'Minco Bouwmaterialen', 'Minco Bouwmaterialen', 'Minco Bouwmaterialen', 'Minco Bouwmaterialen', 'Minco Bouwmaterialen', 'Minco Bouwmaterialen', 'Houtdraadbout RVS (ST)', '44x44 mm geïmpregneerd vuren lengte 480 cm', 'Meranti rond', 'Stootvoegrooster zwart 10x50x100 mm', 'Inboorpaumelle vernikkeld 14 mm houten kozijn', 'Hulpstukken 160 mm', 'X-prime Okoume gegrond 153x310 cm', 'Panlatten', 'Windhaak', 'Stelpen', 'Company', 'None', 'iDeal', 'Apple Pay', 'Visa Creditcard', 'Mastercard Creditcard', 'Maestro Creditcard', 'American Express Creditcard', 'Overboeking', 'Minco Bouwmaterialen']",248,Minco Bouwmaterialen,"Hominco.nl is de leverancier voor al bouwhout, tuinhout, isolatie, gips, pvc en aanverwanten artikelen. Scherpe prijzen, hoge kwaliteit bij Hominco!",None,1424,2343,3,38,2021-01-01,2021-01-01,0
57,noordbouwmaterialen.nl,https://noordbouwmaterialen.nl/,bouwmaterialen,84.13,6.0,22.0,87.0,0.0,,,,,,,0,NaN,429,Home - Noord Bouwmaterialen,€59.15 €42.95,None,3558,4220,3,7,2020-08-13,2021-05-11,271
64,vleutenbouwmaterialen.nl,https://www.vleutenbouwmaterialen.nl/,bouwmaterialen,84.13,2.0,13.0,76.0,4.0,17.0,3.0,101.0,67.0,38.0,21.0,29,"['Bouwmaterialen Best | Van der Vleuten', 'Bouwmaterialen Best | Van der Vleuten', 'Bouwmaterialen Best | Van der Vleuten', 'Bouwmaterialen Best | Van der Vleuten', 'Bouwmaterialen Best | Van der Vleuten', 'Bouwmaterialen Best | Van der Vleuten', 'Bouwmaterialen Best | Van der Vleuten', 'Bouwmaterialen Best | Van der Vleuten', 'Bouwmaterialen Best | Van der Vleuten', 'Bouwmaterialen Best | Van der Vleuten', 'Bouwmaterialen Best | Van der Vleuten', 'Bouwmaterialen Best | Van der Vleuten', 'Bouwmaterialen Best | Van der Vleuten', 'Bouwmaterialen Best | Van der Vleuten', 'Bouwmaterialen Best | Van der Vleuten', 'Bouwmaterialen Best | Van der Vleuten', 'Bouwmaterialen Best | Van der Vleuten', 'Bouwmaterialen Best | Van der Vleuten', 'Bouwmaterialen Best | Van der Vleuten', 'Webwinkel Keurmerk', 'Webwinkel Keurmerk', 'Webwinkel Keurmerk', 'Webwinkel Keurmerk', 'Webwinkel Keurmerk', 'Webwinkel Keurmerk', 'Webwinkel Keurmerk', 'Webwinkel Keurmerk', 'Webwinkel Keurmerk', 'Webwinkel Keurmerk']",232,Bouwmaterialen Best | Van der Vleuten - Home,Voor bouwmaterialen nieuw en gebruikt moet u bij 'De Vleut' zijn.,None,3463,4402,4,31,2021-05-20,2021-05-20,0
80,mulder-bouwmateriaal.nl,https://www.mulder-bouwmateriaal.nl/,bouwmaterialen,84.13,3.0,11.0,215.0,4.0,43.0,84.0,31.0,52.0,22.0,20.0,57,"['Mulder bouwmaterialen', 'Mulder bouwmaterialen', 'Mulder bouwmaterialen', 'Mulder bouwmaterialen', 'Mulder bouwmaterialen', 'Mulder bouwmaterialen', 'Keurmerk Webbshop', 'iDeal', 'Mulder Bouwmateriaal Heteren Gelderland', '5% extra korting voor zakelijke klanten', 'Ontvang een offerte op maat', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Snelle bezorging aan huis binnen 100km', 'Bestel via onze webshop. Mulder Bouwmateriaal Heteren Gelderland', 'Bestel via onze webshop. Mulder Bouwmateriaal Heteren Gelderland', 'Bestel via onze webshop. Mulder Bouwmateriaal Heteren Gelderland', 'None', 'None', 'None', 'Keurmerk Webbshop']",572,Isolatie webshop - Mulder Bouwmateriaal,Isolatie en houthandel webshop &#10003; Bouwmaterialen &#10003; Ruim assortiment &#10003; Altijd scherp geprijsd &#10003; Snelle levering aan huis &#10003; Eenvoudig en veilig betalen.,None,1725,2233,3,0,2021-05-20,2021-05-20,0
82,makroshop.be,https://www.makroshop.be/nl/bouwen-en-gereedschappen/bouwmaterialen,bouwmaterialen,84.13,6.0,7.0,829.0,13.0,42.0,79.0,118442.0,82.0,58.0,22.0,72,"['logo makro', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', '{{basketItems.Title}}', 'auto', 'auto', 'auto', 'auto', 'auto', 'auto', 'auto', 'auto', 'auto', 'auto', 'auto', 'auto', 'auto', 'auto', 'auto', 'auto', 'Afwatering & Drainage', 'Bouwstenen', 'Bouwstoffen', 'Dakbedekking', 'Gipsplaten & Accessoires', 'Isolatie & Accessoires', 'Vensterbanken, Lintelen & Dorpels', 'Vensterbanken, Lintelen & Dorpels', 'Vensterbanken, Lintelen & Dorpels', 'Vensterbanken, Lintelen & Dorpels', 'Vensterbanken, Lintelen & Dorpels', 'Vensterbanken, Lintelen & Dorpels', 'Vensterbanken, Lintelen & Dorpels', 'Vensterbanken, Lintelen & Dorpels', 'Vensterbanken, Lintelen & Dorpels', 'Vensterbanken, Lintelen & Dorpels']",236,"Bouwmaterialen online kopen en vergelijken - MakroShop
",,None,650,1832,3,18,2015-01-01,2015-01-01,0
83,bloemgebruiktebouwmaterialen.nl,https://www.bloemgebruiktebouwmaterialen.nl/,bouwmaterialen,84.13,7.0,8.0,153.0,10.0,16.0,23.0,20.0,54.0,7.0,,38,"['Bloem Gebruikte Bouwmaterialen Logo', 'Bloem Gebruikte Bouwmaterialen Logo', 'Bloem Gebruikte Bouwmaterialen Logo', 'Plattegrond Bloem Gebruikte Bouwmaterialen Panheel', 'Meubelen | Bloem Gebruikte BOuwmaterialen', 'Electra | Bloem Gebruikte Bouwmaterialen', 'Keukenbladen graniet composiet keramiek | Bloem Gebruikte Bouwmaterialen', 'Brandpreventie | Bloem Gebruikte Bouwmaterialen', 'Kozijnen | Bloem Gebruikte Bouwmaterialen Panheel', 'Deuren nieuw of gebruikt | Bloem Gebruikte Bouwmaterialen', 'Gebruikt Sanitair | Bloem Gebruikte Bouwmaterialen', 'Gebruikt Sanitair | Bloem Gebruikte Bouwmaterialen', 'Tuin en Buitenterrein | Bloem Gebruikte Bouwmaterialen', 'Tuin en Buitenterrein | Bloem Gebruikte Bouwmaterialen', 'Tuin en Buitenterrein | Bloem Gebruikte Bouwmaterialen', 'Metselstenen | Bloem Gebruikte Bouwmaterialen Panheel', 'Dakraam | Bloem Gebruikte Bouwmaterialen Panheel', 'Dakraam | Bloem Gebruikte Bouwmaterialen Panheel', 'Combiketels Intergas', 'Combiketels Intergas', 'Paneeldeuren', 'Paneeldeuren', 'Radson Flores radiator', 'Radson Flores radiator', 'Zarges 41207 Plateautrap', 'Zarges 41207 Plateautrap', 'Schijnwerpers', 'Schijnwerpers', 'Houten Kozijnen op maat', 'Houten Kozijnen op maat', 'hang- en sluitwerk gebruikt', 'hang- en sluitwerk gebruikt', 'Grohe mengkranen', 'Bloem Infra', 'Bloem Infra', 'Bloem Infra', 'Bloem Infra', 'Bloem Infra']",344,Home - Bloem Gebruikte Bouwmaterialen,"Ontdek ons groot assortiment in gebruikte bouwmaterialen. Van gebruikte houten balken, tot electra, van radiatoren tot glas in lood in Panheel, Limburg.",None,1050,2298,3,13,2015-12-04,2020-11-04,1797
93,bouwcheap.nl,https://www.bouwcheap.nl/,bouwmaterialen,84.13,0.0,22.0,186.0,0.0,11.0,3.0,44.0,7.0,74.0,,0,NaN,46,Schroeven en meer bouwmaterialen	         - Bouwcheap.nl,"Schroeven, Ijzerwaren en overige bouwmaterialen snel geleverd en voor een eerlijke prijs. Bekijk snel onze webshop bouwcheap.nl ",None,1093,1633,3,28,2005-01-01,2020-01-01,5478
