Number,Dn,Ur,Keyword,Kd,HeaderCount,ListsCount,InternalLinksSoup,ExternalLinksSoup,InternalLinksSEMrush,ExternalLinksSEMrush,BacklinksSEMrush,PageAScore,DomainAScore,AScore,Total Images,Image Tags,Content-length,META-Title,META-Description,Creation Date,FCP,LCP,FID,CLS,original_publication,last_modified,days_between
11,bol.com,https://www.bol.com/nl/m/bouwmaterialen/,bouwmaterialen,84.13,0.0,0.0,0.0,0.0,13.0,117.0,86756300.0,92.0,48.0,75.0,0,[],1725,NaN,NaN,None,528,633,4,6,NaN,NaN,NaN
12,gamma.nl,https://www.gamma.nl/assortiment/k/bouwmaterialen,bouwmaterialen,84.13,5.0,38.0,69.0,10.0,43.0,71.0,45674.0,83.0,17.0,21.0,9,"['None', 'None', 'footer GAMMA', 'Logo Thuiswinkel waarborg', 'facebook', 'instagram', 'Pinterest', 'twitter', 'Youtube']",497,GAMMA | Bouwmaterialen kopen? Van dakgoten tot gipsplaten,Bouwmaterialen nodig? Bij GAMMA vindt u alles wat u nodig heeft voor uw (ver)bouwklus. Bekijk het assortiment in de bouwmarkt of online.,None,670,991,3,3,2021-01-01,2021-01-01,0
13,karwei.nl,https://www.karwei.nl/assortiment/k/bouwmaterialen,bouwmaterialen,84.13,5.0,52.0,88.0,10.0,43.0,71.0,59076.0,81.0,30.0,54.0,0,NaN,497,KARWEI | Bouwmaterialen kopen?,"Wil je bouwmaterialen kopen om je tuin te verbouwen, je huis te isoleren of je muren te stucen? Vind alle benodigde bouwmaterialen online bij KARWEI!",None,700,1096,3,3,2021-01-01,2021-01-01,0
14,verdouw.nu,https://www.verdouw.nu/,bouwmaterialen,84.13,1.0,10.0,158.0,6.0,27.0,218.0,375.0,71.0,24.0,38.0,9,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",62,Bouwmaterialen - Morgen brengen | Totaalleverancier voor de bouw,,None,730,1858,2,1,2021-01-01,2021-01-01,0
16,houtenbouwmaterialen.nl,https://www.houtenbouwmaterialen.nl/,bouwmaterialen,84.13,7.0,13.0,273.0,13.0,37.0,424.0,2415.0,74.0,38.0,30.0,0,NaN,305,NaN,NaN,None,1344,2234,7,1,NaN,NaN,NaN
18,praxis.nl,https://www.praxis.nl/bouwmaterialen/b1/,bouwmaterialen,84.13,4.0,17.0,519.0,14.0,43.0,71.0,576436.0,86.0,41.0,19.0,34,"['None', 'None', 'OSB paneel 18mm 244x59cm', 'Douglas plank ruw 22x190mm 300cm', 'Schaaflat eiken 19x195mm 250cm', 'Praxis plus', 'Praxis plus', 'Douglas grijs reliëf 30x195mm 250cm', 'Schaaflat eiken 19x60mm 250cm', 'Schaaflat eiken 19x25mm 250cm', 'Altrex reformladder All Round 3 x 9-treeds', 'CanDo steigerhout plank onbehandeld vuren 30x195mm 250cm', 'Altrex reformladder All Round 3 x 12-treeds', 'CanDo steigerhout plank vuren vergrijsd 30x195mm 250cm', 'Altrex vouwladder Varitrex Plus 4 x 3-treeds', 'Altrex huishoudtrap Double Decker 6-treeds', 'Geschaafd steigerhout plank vuren 27x190mm 250cm', 'Altrex huishoudtrap Double Decker 5-treeds', 'CanDo steigerhout plank vuren verouderd 30x195mm 250cm', 'Altrex huishoudtrap Double Decker 8-treeds', 'Altrex huishoudtrap Double Decker 3-treeds', 'CanDo steigerhout verbindingslat onbehandeld vuren 30X62mm 250cm', 'Altrex vouw- en rolsteiger met wielset 3400 module A', 'Altrex vouw- en rolsteiger 3400 module B', 'CanDo steigerhout verbindingslat vuren vergrijsd 30x62mm 250cm', 'JéWé trapleuninghouder Helsinki aluminium 2 stuks', 'Dumaclin gevelbekleding grijs', 'Altrex vouw- en rolsteiger 3400 module C', 'Ontdek het op Google Play', 'None', 'None', 'None', 'None', 'None']",455,Bouwmaterialen voor iedere bouwklus | Praxis ,"Bouwmaterialen voor dakbedekking, isolatie of een andere klus nodig? Bekijk en reserveer bouwmaterialen zoals hout en steigers direct op Praxis.nl. ",None,1378,3784,6,59,2017-01-01,2019-01-01,730
20,debouwmarktshop.nl,https://www.debouwmarktshop.nl/,bouwmaterialen,84.13,3.0,9.0,348.0,16.0,42.0,79.0,344.0,67.0,22.0,23.0,0,NaN,504,De Bouwmarktshop.nl - Dé Online Bouwmarkt voor jouw klus!,"Online Bouwmaterialen voor zowel de vakman als consument. Bestel direct voor lage prijzen, levering in Nederland & België ✓ Verbouw binnen budget ✓ Altijd persoonlijk contact ✓ Professionele Bouwmaterialen ✓ Flexibel, Snel & To the point ✓ Speciale services zoals montage",None,2414,2940,6,68,2021-01-01,2021-01-01,0
21,gebruiktebouwmaterialen.com,https://gebruiktebouwmaterialen.com/,bouwmaterialen,84.13,8.0,7.0,197.0,7.0,117.0,77.0,208.0,73.0,22.0,33.0,0,NaN,57,Gebruiktebouwmaterialen.com | Circulaire Bouwmarkt,NaN,None,1246,2120,3,16,NaN,NaN,NaN
25,witzand.nl,https://www.witzand.nl/assortiment/bouwmaterialen/,bouwmaterialen,84.13,5.0,2.0,109.0,19.0,13.0,95.0,57805.0,68.0,22.0,24.0,19,"['logo', 'image', 'image', 'image', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'img', 'youtube icon']",543,Bouwmaterialen | Witzand Bouwmaterialen,Ons assortiment bij Witzand Bouwmaterialen bestaat uit tal van bouwmaterialen. Veel bouwproducten zijn uit voorraad leverbaar maar ook veel materialen leveren wij just in time bij jou op de bouw.,None,999,1486,4,2,2019-01-01,2019-01-01,0
29,houthandelonline.nl,https://www.houthandelonline.nl/bouwmaterialen,bouwmaterialen,84.13,4.0,15.0,377.0,6.0,14.0,99.0,895.0,75.0,74.0,33.0,61,"['Houthandel Online Logo', 'None', 'HouthandelOnline', 'HouthandelOnline', 'HouthandelOnline', 'HouthandelOnline', 'HouthandelOnline', 'HouthandelOnline', 'HouthandelOnline', 'HouthandelOnline', 'HouthandelOnline', 'HouthandelOnline', 'HouthandelOnline', 'HouthandelOnline', 'Subcategorie pagina', 'Categorie pagina', 'Subcategorie pagina', 'Categorie pagina', 'Subcategorie pagina', 'Categorie pagina', 'Subcategorie pagina', 'Categorie pagina', 'Subcategorie pagina', 'Categorie pagina', 'Subcategorie pagina', 'Categorie pagina', 'Subcategorie pagina', 'Categorie pagina', 'Kwaliteit', 'Groot assortiment', 'Lage prijzen', 'Persoonlijk advies', 'Veilig online betalen', 'Veilig online betalen', 'Veilig online betalen', 'Veilig online betalen', 'Veilig online betalen', 'Veilig online betalen', 'Veilig online betalen', 'Veilig online betalen', 'Veilig online betalen', 'Veilig online betalen', 'Veilig online betalen', 'Veilig online betalen', 'Veilig online betalen', 'Veilig online betalen', 'Facebook-icoon', 'Instagram-icoon', 'LinkedIn-icoon', 'YouTube-icoon', 'iDeal', 'MasterCard', 'Visa', 'Mister Cash', 'Overboeking', 'iDeal', 'MasterCard', 'Visa', 'Mister Cash', 'Overboeking', 'None']",42,Groot aanbod bouwmaterialen hout bij Houthandelonline,"Een uitgebreid aanbod aan bouwmaterialen vind je op Houthandelonline. Bijvoorbeeld dak-, isolatie en stukadoorsmaterialen. Ook verkopen wij gips en fermacell.",None,378,514,2,6,2021-01-01,2021-01-01,0
