Number,Dn,Ur,Keyword,Kd,HeaderCount,ListsCount,InternalLinksSoup,ExternalLinksSoup,InternalLinksSEMrush,ExternalLinksSEMrush,BacklinksSEMrush,Total Images,Image Tags,Content-length,META-Title,META-Description,Creation Date
35,breukers.nl,https://www.breukers.nl/bouwmaterialen,bouwmaterialen,82.48,2.0,9.0,229.0,3.0,9.0,79.0,2.0,19,"['NL', 'DE', 'DE', 'Breukers Bouwmaterialen B.V.', 'Breukers Bouwmaterialen B.V.', 'NL', 'DE', 'DE', 'Arrow right round', 'Bouwmaterialen', 'Dorpels', 'Dorpels', 'Dorpels', 'Dorpels', 'Dorpels', 'Dorpels', 'Dorpels', 'Dorpels', 'Breukers Bouwmaterialen B.V.']",53,Bouwmaterialen | Breukers Bouwmaterialen B.V.,"Wij bieden een groot assortiment aan bouwmaterialen, hout- en plaatmateriaal, sierbestrating, tuinhout, zand & grind, en infra-producten aan voor de particulier, aannemers, hoveniers, loonbedrijven, grondverzetbedrijven, wegenbouwbedrijven, stratenmakers en overheidsinstanties.",None
36,groenebouwmaterialen.nl,https://www.groenebouwmaterialen.nl/,bouwmaterialen,82.48,5.0,12.0,486.0,6.0,17.0,3.0,6.0,59,"['GroeneBouwmaterialen.nl | Ecologische bouwmaterialen', 'GroeneBouwmaterialen.nl | Ecologische bouwmaterialen', 'GroeneBouwmaterialen.nl | Ecologische bouwmaterialen', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'Unilit Riva', 'Horsemen Horsemen Wood Care Onzichtbare Wasolie', 'Pro Clima Solitex Fronta Quattro FB', 'Elka ESB Plus constructieplaat, pallet', 'Isolena  Premium schapenwolisolatie, rol', 'Gutex Thermoflex, pak', 'Tierrafino Base S2, zonder stro, bruin leem, Aardvochtig', 'Agepan DWD Protect constructieplaat', 'Metisse Katoen isolatie PM, pak', 'Allbäck  Lijnolieverf Kleur', 'Riva', 'Gutex Thermoflex, pak', 'Isolena  Optimal schapenwolisolatie, rol', 'Gutex Thermoflex, pallet', 'Isolena  Premium schapenwolisolatie, rol', 'Thermo Natur Hennep Premium', 'Thermo Natur Hennep Premium - Pallet', 'Unilit Cortex', 'Horsemen Deck Care', 'Horsemen Stone Betonprotectie', 'Isolatie', 'Luchtdichting', 'Hout & Plaat', 'Stuc', 'Leem', 'Vuurvaste materialen', 'Berg  & Berg Parket', 'Uitverkoop', 'Stucsystemen', 'Natuurverf', 'Verwarming', 'Allbäck ', 'Auro', 'Gutex', 'Isolena ', 'Kerakoll', 'Kreidezeit', 'Metisse', 'Pro Clima', 'Tierrafino', 'WEM ', 'Vacature: Inhoudsbeheerder, website beheerder', 'Vacature: bureauchef, coördinator, organisator, ', 'Vacature: adviseur/verkoper binnendienst']",533,Groenebouwmaterialen - uw bio bouwmarkt - Groene Bouwmaterialen,Een complete bio- bouwmarkt. Wij zijn gespecialiseerd in ecologische en bio based bouwmaterialen. Bijna al onze producten zijn binnen enkele werkdagen leverbaar.,None
37,bouwmaterialenzeeland.nl,https://www.bouwmaterialenzeeland.nl/,bouwmaterialen,82.48,1.0,0.0,0.0,0.0,43.0,109.0,155.0,0,[],9,Uw online bouwmarkt voor elke klus - BPG De Jonge - Bouwmaterialen Zeeland,"Bestel u bouwmaterialen direct in onze webshop, snel en voordelig geleverd in Zeeland",None
38,flexbouwmateriaal.nl,https://www.flexbouwmateriaal.nl/,bouwmaterialen,82.48,2.0,7.0,394.0,10.0,19.0,3.0,,67,"['Flex Bouwmaterialen ', 'Flex Bouwmaterialen ', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'Copa Verticale radiator T20 Vlakke Voorzijde ', 'Paneelradiator T22 H600 ', 'Paneelradiator T22 H400 ', 'Verticale radiator aansluitset ', 'Paneelradiator T22 H500 ', 'Copa Verticale radiator T20 Gestreepte Voorzijde ', 'Paneelradiator T21 H600 ', 'Paneelradiator T22 H900 ', 'Paneelradiator T33 H400 ', 'Paneelradiator T21 H500 ', 'Paneelradiator T22 H300 ', ""Riko thermostatische radiatorventiel 1/2''x15mm haaks "", 'Knauf MP75 ', 'FLX+ MULTIFIX 110 FLEXIBELE TEGELLIJM C2T GRIJS 25KG ', 'T22 met 6 Aansluitingen H900 ', 'T22 met 6 Aansluitingen H700 ', 'T22 met 6 Aansluitingen H600 ', 'T22 met 6 Aansluitingen H500 ', '3m²   480w ', '2,5m²   400w ', 'Verf', 'Sanitair', 'Laminaat', 'Tegels', ' Vloerverwarming', 'Installatie', 'Verwarming', 'Flex Bouwmaterialen ', 'ideal', 'banktransfer', 'mistercash', 'directebanking', 'maestro', 'mastercard', 'visa']",334,"goedkoopste radiator groothandel van Nederland, bouw materialen, laminaat en tegel handel,  FlexBouwmaterialen B.V. - Flex Bouwmaterialen ",Flex Bouwmaterialen B.V. is gespecialiseerd in de verkoop van bouwmaterialen & radiatoren.  wij zijn de goedkoopste radiator groothandelaar Nederland.  tevens z,None
39,jongeneel.nl,https://www.jongeneel.nl/producten/c/WEBSHOP,bouwmaterialen,82.48,2.0,10.0,891.0,5.0,0.0,0.0,40.0,0,NaN,67,Producten | Jongeneel,"Jongeneel is voor iedereen die bouwt of klust . Groot in hout, plaat en bouwmaterialen . 42 vestigingen . Vernieuwde webshop . Voor 13u besteld, morgen bezorgd",None
40,joostdevree.nl,https://www.joostdevree.nl/shtmls/bouwmaterialen.shtml,bouwmaterialen,82.48,0.0,0.0,34.0,4.0,13.0,1.0,7.0,5,"['None', 'None', 'None', 'None', 'None']",53,bouwmaterialen,bouwmaterialen,None
41,veldhovense.nl,https://www.veldhovense.nl/bouwmaterialen,bouwmaterialen,82.48,5.0,7.0,41.0,2.0,,,1.0,24,"['Veldhovense Bouwmaterialen BV', 'Ruwe bouwmaterialen', 'Materialen voor afbouw', 'Materialen voor isolatie', 'Wand- en vloertegels', 'Ruwe bouwmaterialen geel', ' Ruwe bouwmaterialen dakpannen', 'Ruwe bouwmaterialen gestapeld', 'Ruwe bouwmaterialen cement', 'Ruwe bouwmaterialen bakstenen', 'Ruwe bouwmaterialen rode baksteen', 'Ruwe bouwmaterialen tegels', 'Ruwe bouwmaterialen beton', 'Ruwe bouwmaterialen pakken', 'Ruwe bouwmaterialen ijzerwaren', 'Ruwe bouwmaterialen stoepstenen', 'Ruwe bouwmaterialen metselmortel', 'Afbouwmateriaal pakketten ', 'Afbouwmateriaal stuchulpmiddelen', 'Afbouwmateriaal stuken', 'Afbouwmateriaal gipsmortel', 'De merken bij Veldhovense Bouwmaterialen BV', 'Veldhovense Bouwmaterialen BV', 'Veldhovense Bouwmaterialen BV']",300,Alles voor uw klus - Veldhovense Bouwmaterialen,"Ruwe bouwmaterialen, afbouwmateriaal, isolatiemateriaal, of wand- en vloertegels nodig? Veldhovense Bouwmaterialen uit Veldhoven levert het allemaal.",None
42,hormes.nl,https://www.hormes.nl/bouwmaterialen/,bouwmaterialen,82.48,3.0,11.0,85.0,9.0,,,4.0,24,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",601,Hormes Bouwmaterialen | Ruim aanbod in Bouwmaterialen ,Alle Bouwmaterialen voor de Bouwprofessional en Gevorderde klusser onder één dak. Bij Hormes vind je een ruim aanbod Bouwmaterialen.,None
43,houthandelonline.nl,https://www.houthandelonline.nl/bouwmaterialen,bouwmaterialen,82.48,4.0,15.0,374.0,6.0,14.0,99.0,617.0,61,"['Houthandel Online Logo', 'None', 'HouthandelOnline', 'HouthandelOnline', 'HouthandelOnline', 'HouthandelOnline', 'HouthandelOnline', 'HouthandelOnline', 'HouthandelOnline', 'HouthandelOnline', 'HouthandelOnline', 'HouthandelOnline', 'HouthandelOnline', 'HouthandelOnline', 'Subcategorie pagina', 'Categorie pagina', 'Subcategorie pagina', 'Categorie pagina', 'Subcategorie pagina', 'Categorie pagina', 'Subcategorie pagina', 'Categorie pagina', 'Subcategorie pagina', 'Categorie pagina', 'Subcategorie pagina', 'Categorie pagina', 'Subcategorie pagina', 'Categorie pagina', 'Kwaliteit', 'Groot assortiment', 'Lage prijzen', 'Persoonlijk advies', 'Veilig online betalen', 'Veilig online betalen', 'Veilig online betalen', 'Veilig online betalen', 'Veilig online betalen', 'Veilig online betalen', 'Veilig online betalen', 'Veilig online betalen', 'Veilig online betalen', 'Veilig online betalen', 'Veilig online betalen', 'Veilig online betalen', 'Veilig online betalen', 'Veilig online betalen', 'Facebook-icoon', 'Instagram-icoon', 'LinkedIn-icoon', 'YouTube-icoon', 'iDeal', 'MasterCard', 'Visa', 'Mister Cash', 'Overboeking', 'iDeal', 'MasterCard', 'Visa', 'Mister Cash', 'Overboeking', 'None']",42,Groot aanbod bouwmaterialen hout bij Houthandelonline,"Een uitgebreid aanbod aan bouwmaterialen vind je op Houthandelonline. Bijvoorbeeld dak-, isolatie en stukadoorsmaterialen. Ook verkopen wij gips en fermacell.",None
44,bpgdejonge.nl,https://www.bpgdejonge.nl/bouwmaterialen/,bouwmaterialen,82.48,1.0,0.0,0.0,0.0,,,651.0,0,[],9,Op zoek naar Bouwmaterialen? Topkwaliteit bij BPG de Jonge!,Bezoek onze bouwmaterialenhandel voor Bouwmaterialen. Uitstekende service en ruime openingstijden. Gevestigd in s-Heer Arendskerke / Zeeland.,None
45,pianoo.nl,https://www.pianoo.nl/nl/themas/maatschappelijk-verantwoord-inkopen/buyer-groups/buyer-group-biobased-bouwmaterialen,bouwmaterialen,82.48,5.0,13.0,624.0,5.0,90.0,25.0,9.0,2,"['Pianoo Logo', 'illustratieve afbeelding']",511,Buyer Group biobased bouwmaterialen  | PIANOo - Expertisecentrum Aanbesteden,"Wilt u met uw organisatie biobased bouwoplossingen toepassen of uitvragen en een voorbeeldrol vervullen als overheidsorganisatie of bedrijf? U wilt bijvoorbeeld circulair inkopen en zo min mogelijk CO₂-emissie veroorzaken. Of u wilt bijdragen aan de opschaling van kansrijke oplossingen, die zonder vraag maar moeilijk tot wasdom zullen komen. De buyer group biobased bouwmaterialen kan u hierbij ondersteunen.",None
46,ggoedkoop.nl,https://www.ggoedkoop.nl/,bouwmaterialen,82.48,6.0,9.0,61.0,14.0,110.0,44.0,14.0,23,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'Sakol Plaatmateriaal', 'Sakol Afbouwplaten', 'Sakol Tuinhout', 'Sakol Lijstwerk', 'Sakol Bouwfolie', 'None', 'None', 'None', 'None', 'None', 'None']",113,"Goedkoop Bouwmaterialen
",Goedkoop,None
47,xs4all.nl,https://berkela.home.xs4all.nl/materialisering/bouwmaterialen.html,bouwmaterialen,82.48,11.0,15.0,22.0,0.0,13.0,100.0,4229.0,5,"['None', 'klik hier om naar boven te gaan', 'klik hier om naar boven te gaan', 'home', 'None']",697,Bouwmaterialen algemeen: Bouwkundig detailleren - details bouwkunde.,"Bouwmaterialen algemeen, onderdeel van bouwkundige benadering van een architectonisch ontwerp middels detail uitgangspunten, bouwmethodiek en tekentechnieken bouwkunde.",None
48,change.inc,https://www.change.inc/circulaire-economie/serie-circulaire-economie-dichterbij-31999,bouwmaterialen,82.48,4.0,1.0,69.0,5.0,0.0,0.0,114.0,6,"['Zomerserie circulaire economie: Bouwmaterialen op basis van schimmels', 'Zomerserie circulaire economie: Bouwmaterialen op basis van schimmels', 'Meer details bekend over CO2-afvangwedstrijd van Elon Musk met prijzenpot van 100 miljoen', '“Circulariteit is niet één knopje; we moeten aan heel veel knoppen draaien”', 'CHANGE INC.', 'Circulair Textiel Lab: ""Opschalen van gerecycled textiel is essentieel voor toekomstbestendige kledingindustrie""']",1379,Zomercirculaire economie: Bouwmaterialen op basis van schimmels,"Natuurlijke bouwmaterialen, een nieuwe kijk op oude gebouwen en handel in grondstoffen; het zijn drie voorbeelden van essentiële initiatieven die de weg naar een circulaire economie vrijmaken. Elke week licht DuurzaamBedrijfsleven één van deze pioniers uit. De driedelige serie start met dit artikel over Biohm.",None
49,bouwman-denhaag.nl,https://www.bouwman-denhaag.nl/,bouwmaterialen,82.48,3.0,15.0,41.0,5.0,771.0,40.0,5.0,20,"['Bouwman Bouwmaterialen Den Haag', 'Bouwman Bouwmaterialen Den Haag', 'Bouwman Bouwmaterialen Den Haag', 'Bouwman Bouwmaterialen Den Haag', 'Bouwman Bouwmaterialen Den Haag', 'Bouwman Bouwmaterialen Den Haag', 'Rob Roberti', 'Arjuna Consultancy', 'edwin de lange', 'Big Al', 'Mark dgffhdgp Weber', 'Luciano640701 Vanderwal', 'Wouter De Haan', 'Eric pgn', 'Eric pgn', 'Eric pgn', 'dakmaterialen den haag', 'dakmaterialen den haag', 'dakmaterialen den haag', 'dakmaterialen den haag']",346,Home - Bouwman Bouwmaterialen Den Haag,"Bouwman's groothandel Bouwmaterialen biedt een ruim assortiment dakbedekking materiaal, loodgieters materiaal, pvc buizen en nog veel meer...",None
