Number,Dn,Ur,Keyword,Kd,keyword_density_percentage,HeaderCount,ListsCount,InternalLinksSoup,ExternalLinksSoup,InternalLinksSEMrush,ExternalLinksSEMrush,BacklinksSEMrush,PageAScore,DomainAScore,AScore,Total Images,ImageTags,Content-length,METATitle,METADescription,Creation Date,MetaTitleExists,MetaDescriptionExists,KeyWordInMetaTitle,KeyWordInMetaDescription,KeyWordInUrl,KeyWordInImageTags,original_publication,last_modified,days_between,FCP,LCP,FID,CLS
10,kadaza.nl,https://www.kadaza.nl/nieuws,nieuws,71,4.26,2,15,70.0,36.0,43.0,152.0,48246,68.0,47,12,42,"['None', 'None', 'NOS journaal', 'knmi', 'Nu.nl - Nieuws', 'AD Nieuws', 'NRC nieuws', 'Telegraaf', 'Financieel Dagblad - Financieel nieuws', 'Volkskrant', 'Trouw', 'Nieuws van RTL', 'journaal24', 'Teletekst nieuws', 'Google nieuws', 'Het Parool', 'FOK!', 'msn', 'De Gelderlander', 'destentor', 'Elsevier: nieuws, achtergronden en opinie', 'GeenStijl', 'tweakers.net', 'Emerce - Marketing nieuws', 'BCC', 'CNN.com', 'bndestem', 'Dagblad van het Noorden', 'tubantia', '1limburg', 'Brabants Dagblad', 'ed.nl', 'metronieuws', 'rd.nl', 'Facebook', 'Twitter', 'Instagram', 'Youtube', 'None', 'None', 'None', 'None']",93,Nieuws | Meest populaire nieuwssites van Nederland,De meest poplulaire nieuws websites in Nederland. Alle bekende nieuwssites bij elkaar.,None,1,1,1,1,1,1,2021-01-01,2021-01-01,0,,,,
11,voetbalprimeur.nl,https://www.voetbalprimeur.nl/nieuws/981045/opvallend-nieuws-van-borst-pittig-interview-komt-g-z-b-y-k-mogelijk-duur-te-staan.html,nieuws,71,0.28,4,15,591.0,18.0,,,133882242,92.0,21,41,30,"['*', 'Logo VoetbalPrimeur.nl', 'Opvallend nieuws van Borst: pittig interview komt Gözübüyük mogelijk duur te staan', 'GPBlog', 'None', 'None', 'None', 'Niet Bayern of Barça, maar PSG: Wijnaldum zeer gewild', 'FC Barcelona wil Gosens naar Spanje halen ', 'Spurs heeft oogje op oude FC Twente-bekende', 'Van de Looi streept drietal weg: Lang, Zeefuik en Reis vallen af bij Jong Oranje', 'Mundo Deportivo: Barcelona kijkt weer naar Ajax en moet 25 miljoen neertellen', ""Van der Sar: 'Hij heeft jaren vakantie gehad, maar laat ongelooflijk niveau zien'"", 'Petrovic meldt zich in De Kuip voor Advocaat: ', '25 van 32 CL-deelnemers bekend: Ajax veroordeeld tot Pot 3, wie kan PSV loten?', 'Zahavi krijgt opnieuw bergen kritiek na nieuwe controversiële post op Instagram', ""'Songfestival en reglementen zitten Feyenoord dwars: finale mogelijk geschrapt'"", ""Fraser ziet 'competitievervalsing' voor duel met Feyenoord: 'Toen zei ik het ook'"", ""'KNVB zoekt opvolger Gudde en denkt aan Marianne van Leeuwen'"", ""'PEC komt tot een akkoord met Ajax: Scherpen op huurbasis naar Zwolle'"", 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'Digital Enterprises', 'None']",4364,Opvallend nieuws van Borst: pittig interview komt Gözübüyük mogelijk duur te staan | VoetbalPrimeur.nl,"Het Eredivisie-seizoen lijkt vervelend te eindigen voor Serdar Gözübüyük. De arbiter zou aanstaande zaterdag eigenlijk de finale van de play-offs tussen Feyenoord en FC Utrecht gaan fluiten, maar is na zijn kritiek aan het adres van scheidsrechtersbaas Dick van Egmond van het affiche gehaald.",None,1,1,1,0,1,1,2021-05-19,2021-05-19,0,,,,
12,az.nl,https://www.az.nl/nl/nieuws,nieuws,71,5.22,2,20,111.0,52.0,13.0,90.0,36623,,27,53,18,"['None', 'None', 'AZ', 'AFAS Software', 'Amstel', 'Balans Schoonmaak', 'Cavallaro Napoli', 'CTS Group', 'Dusseldorp BMW', 'JM Totaalafdichting', 'Nike', 'Treffer Uitzendbureau', 'Van Muijen Betonbouw', 'VHC Jongens', 'Voetbalshop', 'Vomar Voordeelmarkt', 'KPN', 'Vriendenloterij']",34,Laatste nieuws over AZ  - AZ,"Bekijk hier al het laatste nieuws over AZ, de Jeugdopleiding, de Juniorclubs, het AZ Netwerk, het Archief en AZ eSports. ",None,1,1,1,1,1,0,2021-01-01,2021-01-01,0,,,,
13,emmercourant.nl,https://emmercourant.nl/nieuws,nieuws,71,2.2,2,29,57.0,21.0,42.0,479.0,36287,,38,8,26,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",984,Emmer Courant | Nieuws,Het actuele nieuws uit Emmen lees je op Emmercourant.nl. Blijf overal op de hoogte van het laatste nieuws uit jouw regio.,None,1,1,1,1,1,0,2021-05-24,2021-05-24,0,,,,
14,omroepgelderland.nl,https://www.omroepgelderland.nl/,nieuws,71,1.2,3,13,203.0,33.0,52.0,,153021,84.0,24,68,72,"['Omroep Gelderland', 'Omroep Gelderland', 'Omroep Gelderland', 'Omroep Gelderland', 'Het zonnepark op het Uivermeertje bij Deest. Foto: RN7', 'De supporters van NEC vieren promotie naar de eredivisie. Foto: ANP', 'Fruithandel De Groot in Hedel. Foto: ANP', 'Danny Post overdenkt de ellende bij VVV Foto: ANP', ""Demonstratie in Apeldoorn 'rustig verlopen'. Foto: Luciano de Graaf"", 'X', 'NOS', 'algemeen_panel', 'ma_gevlucht_morgen', 'Maurice Driessen en Irene Ploeg. Foto: Omroep Gelderland', 'Een busje van de Forensische Opsporing kwam in botsing met een personenauto. Foto: Persbureau Heitink', 'De middenstand in Hengelo ziet de flamboyante familie met lede ogen vertrekken.  Foto: ANP', 'De nieuwe coronacijfers zijn bekend. Foto: ANP', ""Daten in het bos: 'Het is toch anders dan Tinder'"", 'Politie raakt op weg naar dode in bos betrokken bij ongeval', 'Promotiefeest NEC bij de Goffert', ""'Dit wordt ons ordinair door de strot geduwd', buurt naar rechter om drijvend zonnepark"", ""'Deze overwinning hebben we dik verdiend'"", 'Sprinklerinstallatie zet magazijn Babypark Kesteren blank', 'Zo bereiden de Nederlandse waterpolodames zich voor op de Olympische Spelen - GLD DOC', ""NEC terug in de eredivisie: 'Dit is een droom die uitkomt'"", 'Boekhoorn middelpunt van feestje', 'Feest bij De Goffert. Foto: Omroep Gelderland', 'Een verpleegkundige leert zijn collega hoe je extra vaccin uit een flesje kan halen. Foto: Omroep Gelderland', 'Door de duizenden liters water kwamen meerdere verdiepingen blank te staan.  Foto: Marco van Deick/Persbureau Heitink', 'Marcel Boekhoorn meldt zich in de kleedkamer: ""Het onwaarschijnlijke is gebeurd"" Foto: Omroep Gelderland', 'De spelers vieren feest na de promotie. Foto: Omroep Gelderland', 'De waterpolodames bereiden zich voor op Tokio. Foto: Omroep Gelderland', 'Duizenden supporters onthalen NEC-spelers na promotie Foto: Omroep Gelderland', 'Rogier Meijer. Foto: BSR Agency', 'Souffian El Karouani en Ayman Sellouf. Foto: ANP', 'Vreugde bij NEC na prachtgoal Okita Foto: ANP', 'Frits van der Schans met 10-duizend blikjes afval. Foto: Omroep Gelderland', 'We snakken naar veel kleur in de tuin Foto: Omroep Gelderland', 'X', 'NOS', 'algemeen_panel', 'ma_gevlucht_morgen', 'Marcel Boekhoorn meldt zich in de kleedkamer: ""Het onwaarschijnlijke is gebeurd"" Foto: Omroep Gelderland', 'De middenstand in Hengelo ziet de flamboyante familie met lede ogen vertrekken.  Foto: ANP', 'Feest bij NEC na de 1-2 Foto: Omroep Gelderland', 'Feest bij De Goffert. Foto: Omroep Gelderland', 'Simon Kistemaker Foto: ANP', 'Het zonnepark op het Uivermeertje bij Deest. Foto: RN7', 'Maurice Driessen en Irene Ploeg. Foto: Omroep Gelderland', 'Een busje van de Forensische Opsporing kwam in botsing met een personenauto. Foto: Persbureau Heitink', 'Feest bij De Goffert. Foto: Omroep Gelderland', 'De supporters van NEC vieren promotie naar de eredivisie. Foto: ANP', ""Demonstratie in Apeldoorn 'rustig verlopen'. Foto: Luciano de Graaf"", 'De waterpolodames bereiden zich voor op Tokio. Foto: Omroep Gelderland', 'Landgoed De Matanze Foto: Omroep Gelderland', 'Meerkamper Léon Mak Foto: Omroep Gelderland', 'Appartementencomplex De Klaproos in Vaassen werd deels ontruimd na een gaslucht. Een bewoner werd aangehouden. Foto: Luciano de Graaf', 'De middenstand in Hengelo ziet de flamboyante familie met lede ogen vertrekken.  Foto: ANP', 'Landgoed De Matanze Foto: Omroep Gelderland', 'Een ooievaar bij een nest. Foto: Omroep Gelderland', 'Simon Kistemaker Foto: ANP', 'Middelbare scholen mogen weer open Foto: ANP', 'Door de duizenden liters water kwamen meerdere verdiepingen blank te staan.  Foto: Marco van Deick/Persbureau Heitink', 'Fruithandel De Groot in Hedel. Foto: ANP', 'Frits van der Schans met 10-duizend blikjes afval. Foto: Omroep Gelderland', 'De motorrijders zijn met enkele duizenden bijeengekomen. Foto: Bart Meesters / Meesters Multi Media', 'De brand aan de Ammerzodenseweg in Hedel van afgelopen november. Foto: Bart Meesters / Meesters Multi Media', 'X', 'NOS', 'X', 'NOS', 'Omroep Gelderland']",741,"Nieuws, weer & verkeer","Altijd op de hoogte van het laatste Gelderse nieuws | Geen inlog! | Ook op televisie, radio & social media | Download de gratis Omroep GLD app!",None,1,1,1,1,0,0,2021-05-24,2021-05-24,0,,,,
15,sublime.nl,https://sublime.nl/category/nieuws-van-de-vooruitgang/,nieuws,71,0.0,1,0,0.0,0.0,0.0,0.0,3579,71.0,38,24,0,[],2,Nieuws v/d Vooruitgang – SUBLIME,,None,1,1,1,0,1,0,2021-05-20,2021-05-20,0,,,,
16,politie.nl,https://www.politie.nl/nieuws,nieuws,71,0.53,3,12,,,14.0,,1419840,90.0,44,59,13,"['Politie logo', 'me', 'Jan Martijn Stout', 'Steekincident Amsterdam De PIjp', 'stockfoto politie', 'Stockfoto', 'rellen', 'Waakzaam en dienstbaar', 'Waakzaam en dienstbaar', 'Waakzaam en dienstbaar', 'Waakzaam en dienstbaar', 'Waakzaam en dienstbaar', 'Waakzaam en dienstbaar']",1157,NaN,NaN,None,1,1,0,0,1,0,NaN,NaN,NaN,,,,
17,songfestival.nl,https://songfestival.nl/nieuws,nieuws,71,0.0,1,7,36.0,7.0,,,1132,66.0,68,35,5,"['None', 'None', 'None', 'None', 'None']",113,Nieuws | Eurovisie Songfestival,De officiële website van het Eurovisie Songfestival,None,1,1,1,0,1,0,2021-01-01,2021-01-01,0,,,,
18,weeronline.nl,https://www.weeronline.nl/nieuws,nieuws,71,0.21,7,18,40.0,6.0,53.0,5.0,3225435,89.0,17,68,59,"['weeronline', 'search', 'gps', 'arrow-left-blue', 'chevron', 'Weekverwachting: zo nat en fris wordt deze week', 'chevron', 'chevron', 'Het is de koudste lente sinds 2013', 'chevron', 'chevron', 'Dit zegt een te koude lente over de temperatuur in de zomer', 'chevron', 'chevron', 'Tips om de beste weerfoto’s te maken', 'chevron', 'chevron', 'Hooikoortsweerbericht: Later in de week toenemende kans op klachten', 'chevron', 'chevron', 'De warmste en zonnigste Pinksterdagen ooit', 'chevron', 'chevron', 'Natuurjournaal: bruine kiekendief heeft zelf kieken', 'chevron', 'chevron', 'Hoe ontstaat een kring om de zon?', 'chevron', 'chevron', 'Dit zijn de koudste en natste Pinksterdagen ooit', 'chevron', 'chevron', 'Dit weer is normaal in mei', 'chevron', 'chevron', 'Natuurjournaal: putter voert jongen', 'chevron', 'chevron', 'chevron-down', 'youtube', 'YouTube thumbnail', 's050r300', 'z-05', 'grade_4', 's050r200', 'w-05', 'grade_5', 'next-arrow-blue', 'next-arrow-blue', 'chevron', 'chevron-down', 'chevron-down', 'chevron-down', 'facebook', 'twitter', 'instagram', 'apple', 'android', 'weeronline']",358,NaN,NaN,None,1,1,0,0,1,0,2021-05-23,2021-05-23,0,,,,
19,uu.nl,https://www.uu.nl/organisatie/actueel/nieuws,nieuws,71,2.21,3,11,79.0,10.0,34.0,107.0,2527341,90.0,38,74,13,"['Utrecht University logo, ga naar de homepage', 'Utrecht University logo, ga naar de homepage', 'Utrecht University logo, ga naar de homepage', 'Utrecht University logo, ga naar de homepage', 'Utrecht University logo, ga naar de homepage', 'Utrecht University logo, ga naar de homepage', 'Utrecht University logo, ga naar de homepage', 'Utrecht University logo, ga naar de homepage', 'Utrecht University logo, ga naar de homepage', 'Utrecht University logo, ga naar de homepage', 'Utrecht University logo, ga naar de homepage', 'Utrecht University logo, ga naar de homepage', 'Utrecht university logo']",25,Nieuws - Actueel - Universiteit Utrecht,Nieuws van de Universteit Utrecht,None,1,1,1,1,1,0,2021-05-21,2020-06-25,330,,,,
20,hartvannederland.nl,https://www.hartvannederland.nl/nieuws/,nieuws,71,5.0,0,0,0.0,0.0,13.0,130.0,203333,84.0,53,64,0,[],0,Nieuws - Lees hier het laatste nieuws | Hart van Nederland ,,None,1,1,1,0,1,0,2021-02-11,2021-02-11,0,,,,
21,hln.be,https://www.hln.be/nieuws/,nieuws,71,0.0,0,0,,,17.0,9.0,474503,91.0,45,72,2,"['dpg media logo', 'HLN']",0,DPG Media Privacy Gate,,None,1,1,0,0,1,0,NaN,NaN,NaN,,,,
22,omroepflevoland.nl,https://www.omroepflevoland.nl/nieuws,nieuws,71,2.65,4,9,,,67.0,26.0,314605,84.0,21,63,4,"['None', 'None', 'None', 'None']",56,Omroep Flevoland - Nieuws,"Omroep Flevoland is de regionale omroep van Flevoland. Wij brengen nieuws, sport, weer en verkeer via radio, televisie en internet.",None,1,1,1,1,1,0,NaN,NaN,NaN,,,,
23,knwu.nl,https://www.knwu.nl/nieuws,nieuws,71,4.35,4,9,,,92.0,192.0,416943,75.0,66,49,16,"['KNWU', 'KNWU-combilogo', 'None', 'KNWU-combilogo', 'KNWU-combilogo', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'KNWU']",174,Nieuws & Updates - KNWU,,None,1,1,1,0,1,0,2021-05-11,2021-05-24,13,,,,
24,trouw.nl,https://www.trouw.nl/,nieuws,71,0.06,11,15,,,26.0,449.0,1276505,92.0,10,75,0,NaN,1417,Trouw | Nieuws en Verdieping,"Het laatste nieuws met duiding van redacteuren, achtergronden, columns, opinie, wetenschap, en recensies van kunst &amp; cultuur door Trouw.",None,1,1,1,1,0,0,2021-01-01,2021-01-01,0,,,,
25,rtvdrenthe.nl,https://www.rtvdrenthe.nl/nieuws,nieuws,71,1.5,4,13,,,24.0,10.0,134456,84.0,42,61,39,"['RTV Drenthe', 'RTV Drenthe', 'RTV Drenthe', 'RTV Drenthe', 'Brandweerlieden bij de pizzeria (Rechten: Persbureau Meter)', 'Brandweerlieden hebben een brandje onder de motorkap van de auto geblust (Rechten: Noordernieuws)', 'Hulpdiensten nemen poolshoogte bij de zorginstelling na de brandmelding (Rechten: Noordernieuws)', ""Stilstaan bij de Dag van het Nationaal Park: 'We zijn hier allemaal voor de natuur' (Rechten: RTV Drenthe )"", 'Van links naart rechts: Erwin Nyhoff (speelt Muskee), Dick van den Heuvel (Schrijver en regisseur) en Alfred van den Heuvel (manager) (Rechten: Rudy Leukfeldt)', 'Een zorgmedewerker met een coronavaccin (Rechten: RTV Drenthe/Kim Stellingwerf)', 'De hoofdingang van het Wilhelmina Ziekenhuis Assen (Rechten: RTV Drenthe/Kim Stellingwerf)', 'Een politieauto (Rechten: ANP)', ""Demissionair Bas van 't Wout (Rechten: ANP)"", 'Het busje in lichterlaaie (Rechten: Persbureau Meter)', 'Margré Emmens met de pleegmerrie en het veulen (Rechten: RTV Drenthe)', 'Nannette Kiers rent mee in de halve Roparun van Dalen (Rechten: Josien Feitsma / RTV Drenthe)', 'Scooterrijder gewond in Assen (Rechten: Persbureau Meter)', 'Koning Willem-Alexander kreeg een rondleiding in het park (Rechten: Marcel Jurian de Jong)', 'Voor de vierde dag op rij daalde het aantal positief geteste Drenten (Rechten: RTV Drenthe / Kim Stellingwerf)', 'Rook bij de schuurbrand in Nieuw-Amsterdam (Rechten: Persbureau Meter)', 'Pionieren aan de keukens (Rechten: RTV Drenthe / Steven Ophoff)', 'Maak de nieuwsquiz! (Rechten: RTV Drenthe)', 'Thie Brouwer´s legitimatiebewijs, collectie Arie Brouwer (Rechten: Collectie Arie Brouwer)', 'FTM Shell Papers', 'Brandweer blust de brand in Nieuw-Amsterdam (Rechten: Persbureau Meter)', 'Erik Oosting bouwde Zuidlaren na van LEGO (Rechten: RTV Drenthe/Hjalmar Guit)', 'Middelbare scholen, zoals de CSG Dingstede in Meppel, mogen weer helemaal open (Rechten: RTV Drenthe / Bastian van de Belt)', 'Voor de vierde dag op rij daalde het aantal positief geteste Drenten (Rechten: RTV Drenthe / Kim Stellingwerf)', 'De auto kwam in het weiland tot stilstand (Rechten: Compact Media)', 'Van Klinken voert wereldranglijst aan en verpulvert opnieuw Nederlands record (Rechten: AFP/Kirill Kudryavtsev)', 'Simon Tibbling (Rechten: ANP)', 'Andrea Deelstra, hier op archieffoto, wint de halve marathon van Fürstenfeld (Rechten: Ed Turk)', 'Ronald Lubbers balt de vuisten richting de supporters, na zijn speech voor het stadion vanochtend (Rechten: RTV Drenthe)', ""De aanklager betaald voetbal heeft de zaak 'FC Emmen' laten vallen  (Rechten: Chris Kunst)"", 'X', 'NOS', 'X', 'NOS', 'RTV Drenthe']",508,Nieuws - RTV Drenthe,Nieuws,None,1,1,1,1,1,1,2021-01-01,2021-01-01,0,,,,
26,iknl.nl,https://iknl.nl/nieuws,nieuws,71,1.3,4,5,441.0,15.0,23.0,14.0,225173,84.0,19,61,8,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",581,Nieuws - IKNL,,None,1,1,1,0,1,0,2021-05-19,2021-05-19,0,,,,
27,weert.nl,https://www.weert.nl/nieuws,nieuws,71,0.94,1,11,64.0,11.0,125.0,16.0,228314,75.0,15,43,28,"['Logo van de gemeente Weert.', 'Logo van de gemeente Weert.', 'Logo van de gemeente Weert.', 'Zoeken.', ' ', 'Link naar de voorleesfunctie.', 'Link naar de rss-feed.', 'Het stadhuis van de gemeente Weert.', 'Kalkoenen op een boederij.', 'Foto van een eerdere kermis in Tungelroy.', 'Dhr. Vlecken, nieuwe burgemeester van de gemeente Weert.', 'Egeltje in een tuin.', 'De 5 vlaggen bij het Bassin.', 'Bouwkavel aan de Kapelheuvelstraat in Swartbroek.', 'Afstandsbediening van een TV.', ""Jacqueline en Mies, twee van de 'gezichten' van de campagne."", 'Fietspad langs de Ittervoorterweg.', 'Fietspad langs de Ittervoorterweg.', 'Fietspad langs de Ittervoorterweg.', ' ', ' ', 'Link naar onze Facebook-pagina.', 'Link naar ons Twitter-account.', 'Link naar onze LinkedIn-pagina.', 'Link naar ons Youtube-kanaal.', 'Link naar onze RSS-feeds.', 'Link naar onze RSS-feeds.', 'Link naar onze RSS-feeds.']",36,Nieuws,Overzicht van actuele nieuwsberichten.,None,1,1,1,1,1,0,2021-05-03,2021-05-03,0,,,,
28,vi.nl,https://www.vi.nl/nieuws,nieuws,71,0.0,1,0,0.0,0.0,50.0,101.0,212971,92.0,57,61,0,[],53,Privacyinstellingen op VI.nl,,None,1,1,0,0,1,0,NaN,NaN,NaN,,,,
29,accountant.nl,https://www.accountant.nl/nieuws/,nieuws,71,4.27,1,44,101.0,6.0,66.0,47.0,89997,82.0,20,51,4,"['Accountant', 'Accountant', 'Accountant', 'Accountant']",363,Accountant | Nieuws,Bekijk het nieuwsoverzicht van Accountant.nl.,None,1,1,1,1,1,0,2021-05-21,2021-05-21,0,,,,
30,rijksoverheid.nl,https://www.rijksoverheid.nl/actueel,nieuws,71,0.52,3,15,46.0,3.0,943.0,25.0,2572809,91.0,27,76,1,['Logo Rijksoverheid - Naar de homepage van Rijksoverheid.nl'],509,NaN,NaN,None,1,1,0,0,0,0,NaN,NaN,NaN,,,,
31,at5.nl,https://www.at5.nl/,nieuws,71,2.27,0,2,33.0,7.0,23.0,488.0,695722,88.0,8,23,0,[],9,NaN,NaN,None,1,1,0,0,0,0,2021-01-01,2021-01-01,0,,,,
32,ns.nl,https://nieuws.ns.nl/,nieuws,71,0.56,5,3,63.0,278.0,4.0,6.0,209265,88.0,43,68,0,NaN,152,NaN,NaN,None,1,1,0,0,1,0,NaN,NaN,NaN,,,,
33,rivm.nl,https://www.rivm.nl/nieuws,nieuws,71,0.19,3,5,412.0,8.0,6.0,11.0,2306589,,61,78,0,NaN,152,Nieuws | RIVM,,None,1,1,1,0,1,0,2021-05-18,2021-05-22,4,,,,
34,rtvnoord.nl,https://www.rtvnoord.nl/,nieuws,71,0.98,3,15,,,54.0,84.0,84788,,44,65,0,NaN,152,RTV Noord - Het nieuws uit Groningen,"Lees het laatste nieuws uit Groningen bij RTV Noord. Met artikelen,
video's, interviews, achtergronden en columns uit provincie en Stad.",None,1,1,1,1,0,0,2021-01-01,2021-01-01,0,,,,
35,google.com,https://news.google.com/topstories?hl=nl&gl=NL&ceid=NL%3Anl,nieuws,71,0.0,1,2,,,920.0,45.0,1246032522,100.0,61,95,0,NaN,152,Google Nieuws,"Uitgebreide up-to-date berichtgeving, verzameld uit bronnen vanuit de hele wereld door Google Nieuws.",None,1,1,1,1,0,0,2021-05-24,2021-05-24,0,,,,
36,destentor.nl,https://www.destentor.nl/,nieuws,71,0.0,0,0,,,42.0,6.0,17943891,87.0,18,63,0,NaN,152,DPG Media Privacy Gate,,None,1,1,0,0,0,0,NaN,NaN,NaN,,,,
37,quotenet.nl,https://www.quotenet.nl/nieuws/,nieuws,71,0.9,1,27,84.0,24.0,2.0,188.0,30623,82.0,42,62,0,NaN,152,Nieuws,,None,1,1,1,0,1,0,2021-05-11,2021-05-11,0,,,,
38,nhnieuws.nl,https://www.nhnieuws.nl/,nieuws,71,4.44,0,3,29.0,8.0,90.0,60.0,1232959,88.0,8,63,0,NaN,152,NaN,NaN,None,1,1,0,0,1,0,2021-01-01,2021-01-01,0,,,,
39,rtvoost.nl,https://www.rtvoost.nl/nieuws,nieuws,71,0.67,4,17,152.0,35.0,50.0,11.0,3763685,84.0,81,64,0,NaN,152,Nieuws - RTV Oost,,None,1,1,1,0,1,0,2021-05-24,2021-05-24,0,,,,
40,1limburg.nl,https://www.1limburg.nl/nieuws,nieuws,71,0.99,2,4,66.0,17.0,66.0,32.0,3596492,87.0,60,66,0,NaN,152,Nieuws | 1Limburg | Nieuws en sport uit Limburg,De snelste en beste bron voor al het nieuws uit Limburg.,None,1,1,1,1,1,0,2021-01-01,2021-01-01,0,,,,
41,gelderlander.nl,https://www.gelderlander.nl/,nieuws,71,0.0,0,0,0.0,0.0,26.0,449.0,15382139,88.0,27,64,0,NaN,152,DPG Media Privacy Gate,,None,1,1,0,0,0,0,NaN,NaN,NaN,,,,
42,rijnmond.nl,https://www.rijnmond.nl/nieuws,nieuws,71,0.74,4,13,139.0,12.0,15.0,38.0,1888281,84.0,39,63,0,NaN,152,Nieuws - Rijnmond,Nieuws,None,1,1,1,1,1,0,2021-01-01,2021-01-01,0,,,,
43,radboudumc.nl,https://www.radboudumc.nl/nieuws,nieuws,71,0.27,7,7,119.0,1.0,125.0,15.0,500866,86.0,15,61,0,NaN,152,Nieuws - Radboudumc,nieuws Radboudumc. Bekijk hier alle informatie,None,1,1,1,1,1,0,2021-05-24,2021-05-24,0,,,,
44,prorail.nl,https://www.prorail.nl/nieuws,nieuws,71,0.82,13,11,61.0,7.0,,,228960,84.0,43,69,0,NaN,152,Nieuws | ProRail,Dagelijks berichten we over ontwikkelingen op en rond het spoor. ,None,1,1,1,0,1,0,2021-05-06,2021-05-01,5,,,,
45,sleutelstad.nl,https://sleutelstad.nl/nieuws/,nieuws,71,0.24,3,16,95.0,6.0,156.0,67.0,67775,84.0,53,47,0,NaN,152,Nieuws | Sleutelstad,Sleutelstad.nl - Nieuws uit Leiden en omgeving. ,None,1,1,1,1,1,0,2000-05-21,2000-05-21,0,,,,
46,overons.kpn,https://www.overons.kpn/nl/nieuws,nieuws,71,1.06,7,15,135.0,22.0,258.0,11.0,1056535,83.0,68,44,0,NaN,152,Nieuws,,None,1,1,1,0,1,0,2021-05-18,2021-05-18,0,,,,
47,npostart.nl,https://www.npostart.nl/live/npo-nieuws,nieuws,71,14.29,0,0,2.0,0.0,178.0,12.0,1400500,90.0,68,67,0,NaN,152,NaN,NaN,None,1,1,0,0,1,0,NaN,NaN,NaN,,,,
48,flowmagazine.nl,https://www.flowmagazine.nl/gezien-in-flow/7-websites-met-alleen-maar-goed-nieuws.html,nieuws,71,1.05,3,22,90.0,21.0,,,30202,87.0,19,38,0,NaN,152,Alleen maar goed nieuws: 7 websites - Flow Magazine NL,We worden zo vaak verdrietig van al dat slechte nieuws dat we iedere dag lezen. Daarom: zeven websites met goed nieuws waar je vrolijk van wordt.,None,1,1,1,1,1,0,2021-01-29,2021-01-29,0,,,,
49,rtvutrecht.nl,https://www.rtvutrecht.nl/,nieuws,71,0.37,5,7,302.0,20.0,52.0,17.0,210462,87.0,3,64,0,NaN,152,Nieuws- en sportoverzicht | RTV Utrecht,Nieuws- en sportoverzicht voor provincie en stad Utrecht.,None,1,1,1,1,0,0,2021-05-24,2021-05-24,0,,,,
50,nporadio2.nl,https://www.nporadio2.nl/nieuwsoverzicht,nieuws,71,3.3,3,20,33.0,8.0,13.0,105.0,46197,88.0,53,57,0,NaN,152,Bekijk het laatste (muziek)nieuws | NPO Radio 2,"Lees, luister en bekijk het laatste NPO Radio 2 & muzieknieuws en blijf op de hoogte van wat er allemaal speelt op de zender en in de muziekwereld!",None,1,1,1,1,1,0,2000-01-01,2000-01-01,0,,,,
51,bnnvara.nl,https://www.bnnvara.nl/vroegevogels/rubrieken/nieuws,nieuws,71,0.0,2,7,27.0,9.0,0.0,0.0,3231213,89.0,13,59,0,NaN,152,Nieuws - Vroege Vogels - BNNVARA,Alle content van Vroege Vogels in de categorie Nieuws.,None,1,1,1,1,1,0,2021-05-24,2021-05-24,0,,,,
52,omroepzeeland.nl,https://www.omroepzeeland.nl/nieuws,nieuws,71,1.29,4,17,129.0,28.0,37.0,117.0,121139,81.0,34,62,0,NaN,152,Nieuws - Omroep Zeeland,Nieuws,None,1,1,1,1,1,0,2021-01-01,2021-01-01,0,,,,
53,fd.nl,https://fd.nl/,nieuws,71,0.19,4,11,155.0,20.0,319.0,64.0,4124294,85.0,1,68,0,NaN,152,Het Financieele Dagblad,"Het laatste nieuws over de beurs, financiële wereld, economie, politiek en ondernemen vind je op fd.nl",None,1,1,0,1,0,0,2021-05-24,2021-05-24,0,,,,
54,startpagina.nl,https://www.startpagina.nl/nieuws,nieuws,71,1.55,1,3,48.0,114.0,15.0,113.0,1763454,94.0,48,64,0,NaN,152,Laatste nieuws en alle kranten op Startpagina.nl,"Lees op Startpagina het laatste Nederlandse nieuws uit de kranten, tijdschriften en van alle sites online. Blijf op de hoogte met Startpagina nieuws.",None,1,1,1,1,1,0,2021-01-01,2021-01-01,0,,,,
55,limburger.nl,https://www.limburger.nl/,nieuws,71,0.3,8,27,178.0,51.0,12.0,9988.0,5359946,87.0,18,62,0,NaN,152,NaN,NaN,None,1,1,0,0,0,0,2021-03-19,2021-05-24,66,,,,
